ID,date,price,bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,grade,sqm_above,sqm_basement,yr_built,yr_renovated,sqm_living15,sqm_lot15
1,2014-10-13,221900.0,3,1,109,524,1,no waterfront,0,3,7,109,0,1955,0,124,524
2,2014-12-09,538000.0,3,2,238,672,2,no waterfront,0,3,7,201,37,1951,1991,157,709
3,2015-02-25,180000.0,2,1,71,929,1,no waterfront,0,3,6,71,0,1933,0,252,748
4,2014-12-09,604000.0,4,3,182,464,1,no waterfront,0,5,7,97,84,1965,0,126,464
5,2015-02-18,510000.0,3,2,156,750,1,no waterfront,0,3,8,156,0,1987,0,167,697
6,2014-05-12,1225000.0,4,4,503,9469,1,no waterfront,0,3,11,361,142,2001,0,442,9469
7,2014-06-27,257500.0,3,2,159,633,2,no waterfront,0,3,7,159,0,1995,0,207,633
8,2015-01-15,291850.0,3,1,98,902,1,no waterfront,0,3,7,98,0,1963,0,153,902
9,2015-04-15,229500.0,3,1,165,693,1,no waterfront,0,3,7,97,67,1960,0,165,753
10,2015-03-12,323000.0,3,2,175,609,2,no waterfront,0,3,7,175,0,2003,0,222,703
11,2015-04-03,662500.0,3,2,330,910,1,no waterfront,0,3,8,172,157,1965,0,205,829
12,2014-05-27,468000.0,2,1,107,557,1,no waterfront,0,4,7,79,27,1942,0,123,557
13,2014-05-28,310000.0,3,1,132,1848,1,no waterfront,0,4,7,132,0,1927,0,165,1179
14,2014-10-07,400000.0,3,1,127,899,1,no waterfront,0,4,7,127,0,1977,0,127,948
15,2015-03-12,530000.0,5,2,168,450,1,no waterfront,0,3,7,168,0,1900,0,126,450
16,2015-01-24,650000.0,4,3,274,464,2,no waterfront,3,3,9,183,90,1979,0,198,371
17,2014-07-31,395000.0,3,2,175,1304,2,no waterfront,0,3,7,175,0,1994,0,175,1302
18,2014-05-29,485000.0,4,1,148,399,1,no waterfront,0,4,7,148,0,1916,0,149,399
19,2014-12-05,189000.0,2,1,111,915,1,no waterfront,0,4,7,111,0,1921,0,98,473
20,2015-04-24,230000.0,3,1,116,908,1,no waterfront,0,4,7,116,0,1969,0,118,822
21,2014-05-14,385000.0,4,1,150,462,1,no waterfront,0,4,7,79,70,1947,0,130,462
22,2014-08-26,2000000.0,3,2,283,4168,1,no waterfront,4,3,9,216,66,1968,0,381,1889
23,2014-07-03,285000.0,5,2,210,585,2,no waterfront,0,3,8,210,0,1995,0,208,650
24,2014-05-16,252700.0,2,1,99,895,1,no waterfront,0,3,7,99,0,1985,0,113,779
25,2014-11-20,329000.0,3,2,227,603,2,no waterfront,0,4,8,227,0,1985,0,204,637
26,2014-11-03,233000.0,3,2,158,436,1,no waterfront,0,5,6,158,0,1941,0,95,437
27,2014-06-26,937000.0,3,1,227,250,2,no waterfront,0,3,8,162,65,1915,0,163,331
28,2014-12-01,667000.0,3,1,130,146,1,no waterfront,0,5,8,130,0,1909,0,172,358
29,2014-06-24,438000.0,3,1,141,592,1,no waterfront,0,3,7,73,67,1948,0,141,579
30,2015-03-02,719000.0,4,2,238,666,2,no waterfront,0,3,8,238,0,2005,0,244,559
31,2014-11-10,580500.0,3,2,215,369,2,no waterfront,0,3,8,215,0,2003,0,239,369
32,2014-12-01,280000.0,2,1,110,117,3,no waterfront,0,3,7,110,0,2005,0,129,163
33,2014-06-24,687500.0,4,1,216,464,1,no waterfront,0,4,7,140,76,1929,0,135,464
34,2014-11-10,535000.0,3,1,101,278,1,no waterfront,0,4,8,101,0,1929,0,145,471
35,2014-12-03,322500.0,4,2,191,618,1,no waterfront,0,3,7,118,72,1981,0,187,810
36,2014-06-13,696000.0,3,2,213,284,1,no waterfront,0,3,8,140,73,1930,2002,147,303
37,2014-05-28,550000.0,4,1,154,3237,1,no waterfront,0,1,5,86,67,1933,0,200,1065
38,2014-12-30,640000.0,4,2,219,557,2,no waterfront,0,4,8,219,0,1904,0,160,436
